home_team,away_team,home_score,home_xg,home_penalty,away_score,away_xg,away_penalty,home_manager,home_captain,away_manager,away_captain,Attendance,Venue,Officials,Round,Date,Score,Referee,Notes,Host,Year,home_goal,away_goal,home_goal_long,away_goal_long,home_own_goal,away_own_goal,home_penalty_goal,away_penalty_goal,home_penalty_miss_long,away_penalty_miss_long,home_penalty_shootout_goal_long,away_penalty_shootout_goal_long,home_penalty_shootout_miss_long,away_penalty_shootout_miss_long,home_red_card,away_red_card,home_yellow_red_card,away_yellow_red_card,home_yellow_card_long,away_yellow_card_long,home_substitute_in_long,away_substitute_in_long
England,Nigeria,0,0.9,4,0,1.2,2,Sarina Wiegman,Millie Bright,Randy Waldrum,Chiamaka Nnadozie,49461,"Suncorp Stadium, Brisbane",Melissa Borjas Pastrana (Referee) · Shirley Perelló (AR1) · Sandra Ramírez (AR2) · Emikar Calderas (4th) · Armando Villarreal (VAR),Round of 16,2023-08-07,(4) 0–0 (2),Melissa Borjas Pastrana,England won on penalty kicks following extra time,"Australia, New Zealand",2023,,,,,,,,,,,"['3|1:0|Bethany England', '5|2:0|Rachel Daly', '7|3:1|Alex Greenwood', '9|4:2|Chloe Kelly']","['6|2:1|Rasheedat Ajibade', '8|3:2|Christy Ucheibe']",['1|0:0|Georgia Stanway'],"['2|0:0|Desire Oparanozie', '4|1:0|Michelle Alozie']",Lauren James · 87’,,,,,,"['88’|0:0|Chloe Kelly|for Alessia Russo', '105’|0:0|Bethany England|for Lauren Hemp', '120’|0:0|Katie Zelem|for Keira Walsh']","['58’|0:0|Asisat Oshoala|for Ifeoma Onumonu', '81’|0:0|Francisca Ordega|for Uchenna Kanu', '91’|0:0|Jennifer Echegini|for Halimatu Ayinde', '114’|0:0|Desire Oparanozie|for Toni Payne']"
Australia,Denmark,2,1.1,,0,0.7,,Tony Gustavsson,Steph Catley,Lars Søndergaard,Pernille Harder,75784,"Accor Stadium, Sydney",Rebecca Welch (Referee) · Natalie Aspinall (AR1) · Anita Vad (AR2) · Marie-Soleil Beaudoin (4th) · Nicolás Gallo (VAR),Round of 16,2023-08-07,2–0,Rebecca Welch,,"Australia, New Zealand",2023,Caitlin Foord · 29’|Hayley Raso · 70’,,"['29’|1:0|Caitlin Foord|Assist:|Mary Fowler', '70’|2:0|Hayley Raso|Assist:|Emily van Egmond']",,,,,,,,,,,,,,,,,['66’|1:0|Janni Thomsen'],"['80’|2:0|Sam Kerr|for Hayley Raso', '80’|2:0|Cortnee Vine|for Emily van Egmond', '90+1’|2:0|Clare Polkinghorne|for Mary Fowler', '90+5’|2:0|Tameka Yallop|for Caitlin Foord']","['63’|1:0|Signe Bruun|for Rikke Sevecke', '63’|1:0|Mille Gejl|for Rikke Madsen', '73’|2:0|Josefine Hasbo|for Kathrine Kühl', '82’|2:0|Sanne Troelsgaard Nielsen|for Karen Holmgaard', '82’|2:0|Emma Snerle|for Amalie Vangsgaard']"
Netherlands,South Africa,2,1.6,,0,1.2,,Andries Jonker,Sherida Spitse,Desiree Ellis,Thembi Kgatlana,40233,"Allianz Stadium, Sydney",Yoshimi Yamashita (Referee) · Makoto Bozono (AR1) · Naomi Teshirogi (AR2) · Oh Hyeonjeong (4th) · Carol-Anne Chenard (VAR),Round of 16,2023-08-06,2–0,Yoshimi Yamashita,,"Australia, New Zealand",2023,Jill Roord · 9’|Lineth Beerensteyn · 68’,,"['9’|1:0|Jill Roord', '68’|2:0|Lineth Beerensteyn|Assist:|Lieke Martens']",,,,,,,,,,,,,,,,['67’|1:0|Daniëlle van de Donk'],,"['76’|2:0|Damaris Egurrola|for Daniëlle van de Donk', '89’|2:0|Lynn Wilms|for Victoria Pelova', '89’|2:0|Kerstin Casparij|for Esmee Brugts', '90+3’|2:0|Katja Snoeijs|for Jill Roord', '90+3’|2:0|Jill Baijings|for Lieke Martens']","['30’|1:0|Wendy Shongwe|for Jermaine Seoposenwe', '42’|1:0|Tiisetso Makhubela|for Bambanani Mbane', '90+2’|2:0|Melinda Kgadiete|for Linda Motlhalo', '90+2’|2:0|Noxolo Cesane|for Hildah Magaia']"
Sweden,United States,0,0.7,5,0,1.3,4,Peter Gerhardsson,Kosovare Asllani,Vlatko Andonovski,Lindsey Horan,27706,"AAMI Park, Melbourne",Stéphanie Frappart (Referee) · Manuela Nicolosi (AR1) · Elodie Coppola (AR2) · Casey Reibelt (4th) · Massimiliano Irrati (VAR),Round of 16,2023-08-06,(5) 0–0 (4),Stéphanie Frappart,Sweden won on penalty kicks following extra time,"Australia, New Zealand",2023,,,,,,,,,,,"['2|1:1|Fridolina Rolfö', '4|2:2|Elin Rubensson', '10|3:3|Hanna Bennison', '12|4:4|Magdalena Eriksson', '14|5:4|Lina Hurtig']","['1|0:1|Andi Sullivan', '3|1:2|Lindsey Horan', '5|2:3|Kristie Mewis', '11|3:4|Alyssa Naeher']","['6|2:3|Nathalie Björn', '8|2:3|Rebecka Blomqvist']","['7|2:3|Megan Rapinoe', '9|2:3|Sophia Smith', ""13|4:4|Kelley O'Hara""]",,,,,['49’|0:0|Kosovare Asllani'],['119’|0:0|Julie Ertz'],"['82’|0:0|Sofia Jakobsson|for Johanna Rytting Kaneryd', '82’|0:0|Lina Hurtig|for Kosovare Asllani', '97’|0:0|Hanna Bennison|for Filippa Angeldahl', '112’|0:0|Rebecka Blomqvist|for Stina Blackstenius']","['66’|0:0|Lynn Williams|for Trinity Rodman', '99’|0:0|Megan Rapinoe|for Alex Morgan', ""120’|0:0|Kelley O'Hara|for Emily Fox"", '120’|0:0|Kristie Mewis|for Emily Sonnett']"
Switzerland,Spain,1,0.3,,5,3.5,,Inka Grings,Lia Wälti,Jorge Vilda,Esther González,43217,"Eden Park, Auckland",Cheryl Foster (Referee) · Michelle O'Neill (AR1) · Franca Overtoom (AR2) · Ivana Martinčić (4th) · Marco Fritz (VAR),Round of 16,2023-08-05,1–5,Cheryl Foster,,"Australia, New Zealand",2023,,Aitana Bonmatí · 5’|Alba Redondo · 17’|Aitana Bonmatí · 36’|Laia Codina · 45’|Jennifer Hermoso · 70’,,"['5’|0:1|Aitana Bonmatí|Assist:|Alba Redondo', '17’|1:2|Alba Redondo|Assist:|Aitana Bonmatí', '36’|1:3|Aitana Bonmatí', '45’|1:4|Laia Codina', '70’|1:5|Jennifer Hermoso|Assist:|Aitana Bonmatí']",Laia Codina (OG) · 11’,,,,,,,,,,,,,,['73’|1:5|Julia Stierli'],,"['46’|1:4|Sandrine Mauron|for Géraldine Reuteler', '46’|1:4|Viola Calligaris|for Eseosa Aigbogun', '46’|1:4|Meriame Terchoun|for Coumba Sow', '75’|1:5|Fabienne Humm|for Seraina Piubel', '84’|1:5|Lara Marti|for Nadine Riesen']","['64’|1:4|Eva Navarro|for Esther González', '64’|1:4|María Pérez|for Teresa Abelleira', '77’|1:5|Alexia Putellas|for Jennifer Hermoso', '77’|1:5|Irene Guerrero|for Aitana Bonmatí', '84’|1:5|Athenea del Castillo|for Salma Paralluelo']"
Japan,Norway,3,1.0,,1,0.8,,Futoshi Ikeda,Saki Kumagai,Hege Riise,Maren Mjelde,33042,"Sky Stadium, Wellington",Edina Alves Batista (Referee) · Neuza Back (AR1) · Leila Naiara Moreira da Cruz (AR2) · Katia García (4th) · Daiane Muniz (VAR),Round of 16,2023-08-05,3–1,Edina Alves Batista,,"Australia, New Zealand",2023,Risa Shimizu · 50’|Hinata Miyazawa · 81’,Guro Reiten · 20’,"['50’|2:1|Risa Shimizu', '81’|3:1|Hinata Miyazawa|Assist:|Aoba Fujino']",['20’|1:1|Guro Reiten|Assist:|Vilde Bøe Risa'],Ingrid Syrstad Engen (OG) · 15’,,,,,,,,,,,,,,,,['72’|2:1|Riko Ueki|for Mina Tanaka'],"['63’|2:1|Karina Sævik|for Emilie Haavi', '63’|2:1|Frida Maanum|for Vilde Bøe Risa', '74’|2:1|Ada Hegerberg|for Tuva Hansen', '88’|3:1|Sara Hørte|for Thea Bjelde']"
Morocco,Colombia,1,1.2,,0,0.6,,Reynald Pedros,Ghizlane Chebbak,Nelson Abadía,Daniela Montoya,17342,"HBF Park, Perth",Maria Sole Ferrieri Caputi (Referee) · Francesca Di Monte (AR1) · Mihaela Gomoescu-Țepușă (AR2) · Akhona Makalima (4th) · Carol-Anne Chenard (VAR),Group stage,2023-08-03,1–0,Maria Sole Ferrieri Caputi,,"Australia, New Zealand",2023,Anissa Lahmari · 45+4’,,['45+4’|1:0|Anissa Lahmari|Assist:|Sakina Ouzraoui'],,,,,,['45+4’|1:0|Ghizlane Chebbak|Penalty saved by Catalina Pérez'],,,,,,,,,,['90+11’|1:0|Ghizlane Chebbak'],['51’|1:0|Manuela Vanegas'],"['71’|1:0|Salma Amani|for Anissa Lahmari', '86’|1:0|Rosella Ayane|for Ibtissam Jraïdi']","['60’|1:0|Diana Ospina|for Daniela Montoya', '86’|1:0|Ivonne Chacón|for Lorena Bedoya', '90+1’|1:0|Marcela Restrepo|for Carolina Arias']"
Korea Republic,Germany,1,1.0,,1,1.8,,Colin Bell,Kim Hye-ri,Martina Voss-Tecklenburg,Alexandra Popp,38945,"Suncorp Stadium, Brisbane",Anna-Marie Keighley (Referee) · Sarah Jones (AR1) · Maria Salamasina (AR2) · Marta Huerta (4th) · Pol van Boekel (VAR),Group stage,2023-08-03,1–1,Anna-Marie Keighley,,"Australia, New Zealand",2023,Cho So-hyun · 6’,Alexandra Popp · 42’,['6’|1:0|Cho So-hyun|Assist:|Lee Young-ju'],['42’|1:1|Alexandra Popp|Assist:|Svenja Huth'],,,,,,,,,,,,,,,,['90+6’|1:1|Marina Hegering'],"['63’|1:1|Park Eun-sun|for Chun Ga-ram', '86’|1:1|Moon Mi-ra|for Casey Phair', '90+10’|1:1|Kang Chae-rim|for Cho So-hyun']","['64’|1:1|Lena Lattwein|for Sara Däbritz', '64’|1:1|Sydney Lohmann|for Klara Bühl', '84’|1:1|Nicole Anyomi|for Jule Brand']"
South Africa,Italy,3,1.4,,2,3.2,,Desiree Ellis,Thembi Kgatlana,Milena Bertolini,Barbara Bonansea,14967,"Sky Stadium, Wellington",María Carvajal (Referee) · Leslie Vásquez (AR1) · Mónica Amboya (AR2) · Myriam Marcotte (4th) · Nicolás Gallo (VAR),Group stage,2023-08-02,3–2,María Carvajal,,"Australia, New Zealand",2023,Hildah Magaia · 67’|Thembi Kgatlana · 90+2’,Arianna Caruso · 74’,"['67’|2:1|Hildah Magaia|Assist:|Thembi Kgatlana', '90+2’|3:2|Thembi Kgatlana|Assist:|Hildah Magaia']",['74’|2:2|Arianna Caruso|Assist:|Cristiana Girelli'],Benedetta Orsi (OG) · 32’,,,Arianna Caruso (P) · 11’,,,,,,,,,,,,,"['46’|1:1|Nomi Kgoale|for Robyn Moodaly', '90+5’|3:2|Wendy Shongwe|for Hildah Magaia', '90+5’|3:2|Tiisetso Makhubela|for Lebohang Ramalepe', '90+15’|3:2|Sibulele Holweni|for Karabo Dhlamini']","['64’|1:1|Elisa Bartoli|for Lucia Di Guglielmo', '64’|1:1|Cristiana Girelli|for Barbara Bonansea', '84’|2:2|Sofia Cantore|for Chiara Beccari', '84’|2:2|Giada Greggi|for Arianna Caruso', '90+10’|3:2|Benedetta Glionna|for Benedetta Orsi']"
Argentina,Sweden,0,0.4,,2,2.0,,Germán Portanova,Vanina Correa,Peter Gerhardsson,Caroline Seger,17907,"FMG Stadium Waikato, Hamilton",Salima Mukansanga (Referee) · Queency Victoire (AR1) · Mary Njoroge (AR2) · Kim Yujeong (4th) · Adil Zourak (VAR),Group stage,2023-08-02,0–2,Salima Mukansanga,,"Australia, New Zealand",2023,,Rebecka Blomqvist · 66’,,['66’|0:1|Rebecka Blomqvist|Assist:|Sofia Jakobsson'],,,,Elin Rubensson (P) · 90’,,,,,,,,,,,['45+4’|0:0|Camila Gómez Ares'],['20’|0:0|Olivia Schough'],"['40’|0:0|Daiana Falfán|for Florencia Bonsegundo', '71’|0:1|Gabriela Chávez|for Julieta Cruz', '71’|0:1|Dalila Ippólito|for Camila Gómez Ares', '79’|0:1|Yamila Rodríguez|for Daiana Falfán', '79’|0:1|Érica Lonigro|for Mariana Larroquette']","['46’|0:0|Elin Rubensson|for Caroline Seger', '62’|0:0|Lina Hurtig|for Olivia Schough', '62’|0:0|Linda Sembrant|for Amanda Ilestedt', '76’|0:1|Johanna Rytting Kaneryd|for Sofia Jakobsson', '90+3’|0:2|Stina Blackstenius|for Madelen Janogy']"
Jamaica,Brazil,0,0.2,,0,1.6,,Lorne Donaldson,Khadija Shaw,Pia Sundhage,Marta,27638,"AAMI Park, Melbourne",Esther Staubli (Referee) · Katrin Rafalski (AR1) · Susann Küng (AR2) · Vincentia Amedome (4th) · Marco Fritz (VAR),Group stage,2023-08-02,0–0,Esther Staubli,,"Australia, New Zealand",2023,,,,,,,,,,,,,,,,,,,['30’|0:0|Cheyna Matthews'],,"['46’|0:0|Tiffany Cameron|for Cheyna Matthews', '85’|0:0|Solai Washington|for Jody Brown']","['46’|0:0|Beatriz|for Ary Borges', '81’|0:0|Geyse|for Antônia', '81’|0:0|Andressa|for Marta', '81’|0:0|Duda Sampaio|for Luana']"
Panama,France,3,1.5,,6,4.4,,Nacho Quintana,Marta Cox,Hervé Renard,Grace Geyoro,40498,"Allianz Stadium, Sydney",Laura Fortunato (Referee) · Mariana De Almeida (AR1) · Daiana Milone (AR2) · Emikar Calderas (4th) · Alejandro Hernández (VAR),Group stage,2023-08-02,3–6,Laura Fortunato,,"Australia, New Zealand",2023,Marta Cox · 2’|Lineth Cedeño · 87’,Maëlle Lakrar · 21’|Kadidiatou Diani · 28’|Léa Le Garrec · 45+5’|Vicki Bècho · 90+10’,"['2’|1:0|Marta Cox', '87’|3:5|Lineth Cedeño']","['21’|1:1|Maëlle Lakrar|Assist:|Clara Matéo', '28’|1:2|Kadidiatou Diani', '45+5’|1:4|Léa Le Garrec|Assist:|Selma Bacha', '90+10’|3:6|Vicki Bècho|Assist:|Ève Périsset']",,,Yomira Pinzón (P) · 64’,Kadidiatou Diani (P) · 37’|Kadidiatou Diani (P) · 52’,,,,,,,,,,,['66’|2:5|Yomira Pinzón'],,"['46’|1:4|Lineth Cedeño|for Deysiré Salazar', '58’|1:5|Schiandra González|for Carmen Montenegro', '58’|1:5|Erika Hernández|for Emily Cedeño', '62’|1:5|Rebeca Espinosa|for Wendy Natis', '81’|2:5|Natalia Mills|for Riley Tanner']","['46’|1:4|Viviane Asseyi|for Selma Bacha', '46’|1:4|Amel Majri|for Grace Geyoro', '60’|1:5|Laurina Fazer|for Kadidiatou Diani']"
